Price,Year,Mileage,Region,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_region,max_price_region,min_price_region,std_price_region,mean_price_sc,max_price_sc,min_price_sc,std_price_sc,mean_price_mm,max_price_mm,min_price_mm,std_price_mm
14495,2014,27577,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,24537.552631578947,37500,6495,7679.901588957634,17214.413636363635,23887,8924,2073.3110178524844
15999,2014,27268,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,16606.125,26499,7499,5057.107116062832,17910.729559748426,23600,12290,2099.876119569538
14994,2014,22266,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,21226.4,28994,2990,6068.383931728212,17214.413636363635,23887,8924,2073.3110178524844
16500,2015,29651,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,14022.222222222223,17500,6000,4680.218418454896,17214.413636363635,23887,8924,2073.3110178524844
13699,2012,39342,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,20913.5,38480,13699,11836.180366430153,11397.42,20000,3900,4149.335277920354
12933,2011,54050,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,27814.277777777777,41983,10500,10038.952815118868,11352.45581395349,19900,4990,2640.7577171877883
15965,2015,30091,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,23033.511627906977,37886,7994,6984.220904370057,17214.413636363635,23887,8924,2073.3110178524844
8995,2007,53525,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,8995.0,8995,8995,,11352.45581395349,19900,4990,2640.7577171877883
13987,2011,44330,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,21442.922077922078,43826,4995,10207.039085287422,11352.45581395349,19900,4990,2640.7577171877883
15976,2014,27263,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,20888.194444444445,41988,5995,9558.398771520091,17214.413636363635,23887,8924,2073.3110178524844
16990,2014,16848,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,26513.163636363635,46990,7789,9651.58259094146,17214.413636363635,23887,8924,2073.3110178524844
14994,2014,34599,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,23033.511627906977,37886,7994,6984.220904370057,17214.413636363635,23887,8924,2073.3110178524844
17990,2015,24376,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22071.975308641977,49711,5999,9971.232062758478,17214.413636363635,23887,8924,2073.3110178524844
18500,2015,18283,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22071.975308641977,49711,5999,9971.232062758478,17214.413636363635,23887,8924,2073.3110178524844
11995,2011,53000,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,25495.0,38995,11995,19091.883092036784,11352.45581395349,19900,4990,2640.7577171877883
11888,2012,84126,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,14017.615384615385,39888,5777,6355.170483511352,11397.42,20000,3900,4149.335277920354
9995,2006,62983,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,21914.714285714286,39990,9995,9352.106701606957,11397.42,20000,3900,4149.335277920354
13799,2013,31055,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,16099.0,17499,13799,2007.4859899884732,17214.413636363635,23887,8924,2073.3110178524844
